months_as_customer,age,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,incident_severity,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
370,55,1994-05-27,IL,2000,972.18,0,MALE,High School,prof-specialty,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Major Damage,SC,Hillsdale,20,3,NO,0,0,71520,17880,5960,47680,Suburu,Forrestor,2000,Y
413,55,1991-02-08,IN,2000,1268.79,0,MALE,MD,priv-house-serv,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Total Loss,WV,Northbend,15,1,?,2,2,98160,8180,16360,73620,Dodge,RAM,2011,Y
237,40,1996-02-02,IN,1000,883.31,0,MALE,College,craft-repair,husband,0,-53500,2015-02-24,Single Vehicle Collision,Minor Damage,VA,Riverwood,6,1,NO,1,3,77880,7080,14160,56640,Ford,Escape,2005,N
8,35,2013-12-05,OH,2000,1266.92,0,MALE,Masters,sales,own-child,0,0,2015-01-09,Multi-vehicle Collision,Major Damage,OH,Arlington,16,3,NO,1,3,71500,16500,11000,44000,Ford,Escape,2006,Y
257,43,1990-09-20,IN,2000,1322.1,0,MALE,High School,prof-specialty,own-child,0,-29200,2015-01-28,Parked Car,Minor Damage,PA,Arlington,4,1,YES,1,3,9020,1640,820,6560,Toyota,Camry,2005,N
202,34,2002-07-18,IN,500,848.07,3000000,MALE,JD,exec-managerial,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,Minor Damage,VA,Northbrook,5,1,YES,2,1,5720,1040,520,4160,Suburu,Forrestor,2003,Y
224,40,1990-02-08,OH,2000,1291.7,0,FEMALE,JD,sales,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Minor Damage,SC,Northbend,21,1,NO,1,0,69840,7760,15520,46560,Dodge,Neon,2009,N
241,45,2014-03-04,IL,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,unmarried,0,0,2015-02-15,Single Vehicle Collision,Minor Damage,SC,Northbrook,5,1,NO,2,2,91650,14100,14100,63450,Accura,TL,2011,N
64,25,2000-02-18,IL,1000,954.16,0,MALE,Masters,prof-specialty,husband,53200,0,2015-01-18,Multi-vehicle Collision,Major Damage,SC,Columbus,22,4,NO,0,0,75600,12600,12600,50400,Toyota,Corolla,2005,N
166,37,2008-06-19,IL,2000,1337.28,8000000,MALE,JD,craft-repair,husband,27500,0,2015-02-28,Multi-vehicle Collision,Major Damage,WV,Riverwood,10,3,NO,2,2,67140,7460,7460,52220,Ford,F150,2006,Y
155,35,2003-08-01,IL,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Total Loss,NY,Arlington,16,3,YES,2,3,29790,3310,3310,23170,BMW,3 Series,2008,N
114,30,1992-04-04,IL,1000,1558.29,0,MALE,High School,farming-fishing,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Major Damage,NY,Hillsdale,1,3,NO,1,2,77110,14020,14020,49070,Suburu,Impreza,2015,N
149,37,1991-01-13,IL,500,1415.68,0,MALE,PhD,prof-specialty,own-child,0,0,2015-02-12,Single Vehicle Collision,Total Loss,WV,Hillsdale,17,1,YES,0,1,64800,10800,5400,48600,Audi,A3,1999,N
147,33,2010-08-08,OH,1000,1334.15,6000000,MALE,High School,craft-repair,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Major Damage,WV,Springfield,15,1,YES,2,0,53100,10620,5310,37170,Mercedes,C300,1995,Y
62,28,2003-03-09,IL,1000,988.45,0,FEMALE,Masters,protective-serv,unmarried,0,0,2015-01-09,Single Vehicle Collision,Total Loss,NY,Northbrook,3,1,?,1,1,60200,6020,6020,48160,Suburu,Forrestor,2004,Y
289,49,1993-02-03,IL,2000,1222.48,0,FEMALE,JD,priv-house-serv,unmarried,0,0,2015-01-18,Parked Car,Minor Damage,WV,Arlington,16,1,NO,1,1,5330,1230,820,3280,Suburu,Legacy,2001,N
431,54,2002-11-25,IN,2000,1155.55,0,FEMALE,MD,craft-repair,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Major Damage,NY,Hillsdale,4,3,?,2,0,62300,12460,6230,43610,Jeep,Wrangler,2007,N
199,37,1997-07-27,IN,500,1262.08,0,MALE,JD,tech-support,wife,48500,0,2015-01-08,Single Vehicle Collision,Major Damage,NC,Columbus,4,1,?,0,3,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y
79,26,1995-05-08,IL,500,1451.62,0,MALE,Associate,tech-support,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Minor Damage,WV,Columbus,19,1,NO,2,2,40000,8000,4000,28000,BMW,M5,2010,N
116,34,2012-08-30,IN,500,1737.66,0,MALE,Associate,transport-moving,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Major Damage,WV,Northbrook,1,1,?,1,1,97080,16180,16180,64720,BMW,X5,2001,Y
37,23,2006-04-30,IL,500,1475.93,0,FEMALE,College,prof-specialty,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Minor Damage,SC,Springfield,17,3,YES,1,0,51660,5740,5740,40180,Dodge,RAM,2010,N
106,30,2003-04-13,OH,500,538.17,0,FEMALE,PhD,transport-moving,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Total Loss,NC,Arlington,23,1,NO,2,2,51120,5680,5680,39760,Mercedes,E400,2005,N
269,44,2007-12-05,IL,2000,1081.08,0,MALE,JD,priv-house-serv,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Minor Damage,SC,Springfield,14,1,YES,0,2,56400,11280,11280,33840,Toyota,Highlander,2014,N
265,40,2006-08-21,IL,1000,1454.43,0,FEMALE,MD,protective-serv,husband,0,0,2015-02-21,Multi-vehicle Collision,Total Loss,NY,Arlington,17,3,NO,2,3,55120,6890,0,48230,Accura,MDX,2002,N
163,33,1990-01-08,IN,500,1240.47,0,FEMALE,Associate,other-service,husband,35300,0,2015-02-18,Multi-vehicle Collision,Total Loss,NC,Northbend,11,3,YES,1,1,77110,0,14020,63090,Honda,Civic,2014,N
355,47,1990-03-18,OH,2000,1273.7,4000000,MALE,College,other-service,husband,0,0,2015-01-10,Multi-vehicle Collision,Major Damage,WV,Arlington,19,3,NO,2,1,62800,6280,6280,50240,Audi,A3,2003,Y
175,34,2008-01-07,IN,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,0,0,2015-02-26,Vehicle Theft,Trivial Damage,NY,Arlington,5,1,?,2,0,7290,810,810,5670,Volkswagen,Passat,1995,N
192,35,1997-03-10,IL,1000,1245.89,0,FEMALE,Masters,exec-managerial,wife,0,-40300,2015-01-01,Single Vehicle Collision,Total Loss,WV,Springfield,19,1,NO,0,0,76600,15320,7660,53620,Mercedes,C300,2000,N
430,59,2004-01-10,OH,2000,1326.62,7000000,MALE,MD,other-service,own-child,0,0,2015-01-03,Multi-vehicle Collision,Minor Damage,NY,Riverwood,19,3,?,0,3,81800,16360,8180,57260,Nissan,Pathfinder,1998,N
91,27,1994-08-20,IL,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,0,0,2015-01-17,Vehicle Theft,Trivial Damage,NY,Arlington,4,1,?,1,2,7260,1320,660,5280,BMW,M5,2008,N
217,39,2002-06-02,IN,1000,1530.52,0,MALE,College,armed-forces,not-in-family,0,0,2015-02-22,Vehicle Theft,Minor Damage,WV,Northbend,8,1,?,2,1,4300,430,430,3440,Toyota,Corolla,2000,N
223,40,1994-04-28,IN,500,1201.41,0,FEMALE,JD,priv-house-serv,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Major Damage,NC,Columbus,7,3,YES,1,0,70510,12820,12820,44870,Suburu,Forrestor,1999,N
195,39,2014-08-17,OH,1000,1393.57,0,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,2015-02-27,Parked Car,Minor Damage,VA,Northbend,5,1,NO,0,1,2640,480,480,1680,Ford,F150,2009,N
22,26,2007-08-11,OH,1000,1276.57,0,MALE,PhD,craft-repair,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Minor Damage,NY,Arlington,3,1,YES,1,2,78900,15780,7890,55230,Chevrolet,Silverado,1995,N
439,56,2008-11-20,IN,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Major Damage,SC,Columbus,12,3,?,2,3,56430,0,6270,50160,Honda,CRV,2014,N
94,32,1995-10-18,IN,1000,1414.74,0,FEMALE,Masters,adm-clerical,own-child,0,0,2015-02-22,Parked Car,Minor Damage,VA,Riverwood,19,1,NO,1,3,2400,300,300,1800,Chevrolet,Silverado,2014,N
11,39,1993-05-19,IL,2000,1470.06,0,MALE,PhD,other-service,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Total Loss,WV,Riverwood,22,1,YES,0,1,65790,7310,7310,51170,Saab,93,2007,N
151,36,2005-02-26,OH,2000,870.63,0,FEMALE,MD,adm-clerical,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Minor Damage,VA,Hillsdale,12,3,NO,1,1,62920,11440,5720,45760,Ford,Escape,2000,N
154,34,1990-02-14,IN,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,36900,0,2015-01-10,Multi-vehicle Collision,Major Damage,NY,Springfield,15,3,YES,2,1,69480,15440,0,54040,Nissan,Maxima,2014,Y
245,44,1993-09-30,IL,1000,1168.2,0,MALE,JD,handlers-cleaners,husband,69100,0,2015-02-11,Multi-vehicle Collision,Total Loss,OH,Springfield,23,3,NO,0,3,44280,7380,3690,33210,Honda,Accord,1997,N
119,32,2014-06-10,IL,1000,993.51,0,MALE,High School,armed-forces,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Minor Damage,WV,Hillsdale,12,1,NO,0,3,56300,5630,11260,39410,BMW,M5,2011,N
215,42,2008-10-28,OH,500,1848.81,0,MALE,JD,transport-moving,own-child,0,-49000,2015-02-06,Multi-vehicle Collision,Major Damage,WV,Northbend,20,3,YES,2,2,68520,11420,5710,51390,Suburu,Legacy,2003,Y
295,42,2007-04-24,OH,2000,1641.73,5000000,MALE,PhD,sales,not-in-family,62400,0,2015-01-20,Multi-vehicle Collision,Total Loss,VA,Riverwood,16,3,NO,0,0,59130,6570,6570,45990,Ford,Escape,2006,Y
254,39,1993-12-13,IN,500,1362.87,0,FEMALE,MD,exec-managerial,other-relative,35700,0,2015-02-22,Multi-vehicle Collision,Minor Damage,NY,Arlington,6,3,YES,2,2,82320,13720,6860,61740,Dodge,Neon,1995,Y
107,31,2011-08-17,IN,500,1239.22,7000000,FEMALE,High School,tech-support,not-in-family,43400,-91200,2015-01-30,Single Vehicle Collision,Minor Damage,SC,Springfield,12,1,YES,0,1,89700,13800,13800,62100,Audi,A5,2009,Y
478,64,1990-08-20,OH,500,835.02,0,FEMALE,Associate,adm-clerical,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Minor Damage,WV,Hillsdale,17,3,NO,1,1,33930,0,3770,30160,BMW,X6,1998,N
128,30,1994-02-11,OH,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Major Damage,WV,Northbrook,8,1,NO,0,3,68530,12460,6230,49840,Audi,A5,1997,N
338,49,1994-02-22,IN,1000,1279.08,0,MALE,MD,other-service,own-child,0,-51500,2015-02-27,Parked Car,Minor Damage,NC,Riverwood,13,1,NO,0,1,4300,860,860,2580,Ford,F150,2004,N
271,42,2011-08-15,OH,500,1105.49,0,FEMALE,Associate,prof-specialty,own-child,56200,-50000,2015-02-20,Multi-vehicle Collision,Major Damage,SC,Hillsdale,12,2,?,2,3,68310,12420,6210,49680,Audi,A3,2003,Y
222,41,1998-11-11,OH,2000,1055.53,0,FEMALE,MD,armed-forces,not-in-family,37800,-50300,2015-02-08,Single Vehicle Collision,Total Loss,WV,Northbrook,7,1,NO,0,2,61290,6810,6810,47670,Honda,Civic,1995,Y
199,41,1995-12-04,OH,1000,895.83,0,FEMALE,Associate,sales,husband,0,0,2015-02-11,Single Vehicle Collision,Minor Damage,NC,Arlington,10,1,NO,1,2,30100,3010,0,27090,Chevrolet,Malibu,1999,N
215,37,2002-12-28,IN,500,1632.93,0,FEMALE,College,transport-moving,not-in-family,0,-42900,2015-02-23,Multi-vehicle Collision,Minor Damage,SC,Riverwood,7,3,NO,2,0,57120,9520,4760,42840,Mercedes,C300,2002,N
192,40,2004-04-15,IL,1000,1405.99,0,FEMALE,Associate,sales,wife,0,0,2015-03-01,Multi-vehicle Collision,Minor Damage,VA,Springfield,18,3,YES,1,0,42930,9540,4770,28620,BMW,X6,2005,N
120,35,2001-02-02,OH,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,78300,0,2015-01-15,Multi-vehicle Collision,Total Loss,SC,Riverwood,22,3,NO,2,0,51210,11380,5690,34140,Ford,Fusion,2010,N
270,45,2010-01-12,OH,1000,1038.09,0,FEMALE,College,handlers-cleaners,husband,0,-19700,2015-01-14,Multi-vehicle Collision,Minor Damage,NY,Springfield,18,3,NO,1,1,89400,14900,7450,67050,Suburu,Legacy,1998,N
319,47,1992-04-14,IN,500,1307.11,0,MALE,College,transport-moving,not-in-family,0,0,2015-02-17,Multi-vehicle Collision,Total Loss,WV,Northbrook,22,3,NO,0,2,59730,10860,10860,38010,Audi,A3,2005,N
194,39,2010-05-21,OH,1000,1489.24,6000000,FEMALE,JD,other-service,wife,0,-45000,2015-01-24,Vehicle Theft,Minor Damage,SC,Springfield,15,1,YES,2,2,8060,1240,1240,5580,Saab,95,2004,N
227,38,2013-10-27,OH,500,976.67,0,FEMALE,PhD,handlers-cleaners,unmarried,0,0,2015-01-21,Single Vehicle Collision,Major Damage,SC,Northbrook,16,1,?,1,2,72200,14440,7220,50540,BMW,M5,2013,Y
137,31,1994-10-12,OH,2000,1340.43,0,MALE,High School,exec-managerial,husband,52700,-40600,2015-02-19,Multi-vehicle Collision,Minor Damage,NC,Arlington,6,3,NO,1,2,50800,10160,10160,30480,Accura,MDX,2005,N
244,40,1997-07-04,OH,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,wife,0,0,2015-01-03,Vehicle Theft,Trivial Damage,NC,Northbrook,10,1,?,2,1,6600,660,1320,4620,Accura,TL,2005,N
78,29,2011-02-15,IL,1000,1234.2,6000000,MALE,Masters,other-service,other-relative,0,0,2015-01-29,Vehicle Theft,Minor Damage,NY,Northbrook,3,1,YES,2,2,7500,750,1500,5250,Nissan,Maxima,2002,N
200,35,1994-08-21,IN,2000,1318.06,0,MALE,High School,exec-managerial,wife,57300,-80600,2015-01-19,Vehicle Theft,Trivial Damage,VA,Hillsdale,13,1,NO,0,3,6490,1180,1180,4130,Volkswagen,Jetta,2002,N
284,48,1997-05-15,IN,2000,769.95,0,MALE,Masters,prof-specialty,not-in-family,0,-44200,2015-01-19,Multi-vehicle Collision,Major Damage,NY,Hillsdale,16,2,?,2,3,60940,5540,11080,44320,Audi,A3,2013,Y
275,41,1996-10-26,OH,2000,1514.72,0,MALE,High School,transport-moving,own-child,35700,0,2015-02-02,Multi-vehicle Collision,Major Damage,NY,Northbrook,13,3,YES,0,1,58300,5830,11660,40810,Suburu,Legacy,2007,N
153,34,2006-03-04,IL,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,husband,800,0,2015-01-30,Multi-vehicle Collision,Minor Damage,SC,Columbus,9,3,NO,2,1,68400,11400,11400,45600,Ford,F150,2007,N
134,32,1991-01-02,IL,500,1612.43,0,FEMALE,MD,other-service,own-child,36400,0,2015-01-08,Single Vehicle Collision,Total Loss,VA,Springfield,2,1,?,2,1,64240,11680,11680,40880,BMW,3 Series,2015,N
31,36,1999-08-15,IL,2000,1318.24,9000000,FEMALE,College,prof-specialty,not-in-family,0,-78600,2015-01-30,Parked Car,Trivial Damage,WV,Arlington,9,1,NO,0,1,4700,940,470,3290,Dodge,Neon,2002,N
41,25,1992-01-15,IN,1000,1226.83,0,FEMALE,College,exec-managerial,not-in-family,0,-56100,2015-01-07,Multi-vehicle Collision,Major Damage,SC,Columbus,12,3,YES,2,0,45120,0,5640,39480,Accura,MDX,2011,Y
127,29,1999-12-07,OH,2000,1326.44,5000000,FEMALE,High School,sales,own-child,0,0,2015-02-24,Multi-vehicle Collision,Total Loss,SC,Arlington,12,2,YES,1,1,66950,10300,10300,46350,Saab,93,1995,N
61,23,1993-06-06,IL,2000,1136.83,4000000,FEMALE,Associate,tech-support,own-child,0,-62400,2015-02-02,Single Vehicle Collision,Major Damage,NY,Columbus,14,1,NO,0,3,98340,8940,17880,71520,Honda,Accord,2004,Y
207,42,2000-10-03,IL,2000,1322.78,0,MALE,PhD,farming-fishing,own-child,55200,0,2015-02-28,Parked Car,Trivial Damage,WV,Springfield,9,1,NO,0,1,5900,590,590,4720,BMW,X5,2007,N
219,43,2010-12-29,IN,1000,1483.25,0,FEMALE,MD,exec-managerial,not-in-family,90700,-20800,2015-02-09,Multi-vehicle Collision,Major Damage,NC,Riverwood,3,3,NO,1,1,70680,5890,11780,53010,Ford,Fusion,2009,N
271,42,1990-03-17,IL,500,1515.3,0,FEMALE,High School,machine-op-inspct,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Total Loss,SC,Northbend,21,3,NO,1,0,93720,17040,8520,68160,Mercedes,ML350,2005,N
80,25,2012-03-01,IL,2000,1075.18,5000000,FEMALE,PhD,armed-forces,husband,67700,-58400,2015-02-21,Vehicle Theft,Minor Damage,OH,Northbrook,5,1,NO,2,0,6930,1260,630,5040,Toyota,Highlander,2001,N
325,47,2006-02-05,IN,1000,1690.27,0,FEMALE,Associate,protective-serv,not-in-family,61500,0,2015-01-14,Single Vehicle Collision,Major Damage,VA,Springfield,11,1,YES,0,3,72930,6630,6630,59670,Dodge,RAM,2006,Y
29,25,2014-11-01,IL,2000,1352.83,0,MALE,Masters,farming-fishing,own-child,0,-71700,2015-01-22,Multi-vehicle Collision,Minor Damage,SC,Hillsdale,4,4,YES,1,2,64890,7210,7210,50470,Nissan,Pathfinder,2013,Y
295,48,2009-06-17,OH,1000,1148.73,0,FEMALE,College,machine-op-inspct,wife,0,0,2015-02-22,Parked Car,Trivial Damage,WV,Columbus,6,1,?,1,2,5400,900,900,3600,Saab,95,1999,N
239,42,1999-09-20,IL,1000,969.5,0,MALE,College,exec-managerial,not-in-family,0,0,2015-01-26,Vehicle Theft,Trivial Damage,NC,Northbrook,10,1,NO,0,0,5600,700,700,4200,Audi,A3,2007,N
269,41,1990-10-19,IN,500,1463.82,0,FEMALE,College,protective-serv,not-in-family,0,-72300,2015-01-24,Single Vehicle Collision,Minor Damage,SC,Northbend,23,1,YES,0,0,79300,15860,15860,47580,Saab,92x,2007,N
80,27,1996-08-05,IL,1000,1474.17,0,FEMALE,College,tech-support,unmarried,0,0,2015-02-19,Single Vehicle Collision,Major Damage,WV,Northbend,13,1,YES,1,0,52800,10560,5280,36960,Saab,95,2004,N
279,41,2001-06-06,IL,500,1497.35,0,FEMALE,JD,prof-specialty,husband,37300,-31700,2015-01-29,Multi-vehicle Collision,Minor Damage,NC,Northbrook,16,3,?,2,3,28800,0,3600,25200,Ford,Fusion,2013,N
165,33,2007-03-25,OH,1000,1427.14,0,FEMALE,Associate,tech-support,other-relative,35300,-58100,2015-02-15,Parked Car,Minor Damage,WV,Northbend,3,1,NO,1,1,2970,330,330,2310,Toyota,Highlander,2008,N
350,54,2013-10-31,OH,500,1495.1,0,MALE,College,other-service,wife,50500,0,2015-02-12,Multi-vehicle Collision,Total Loss,SC,Northbend,15,3,NO,0,0,93480,15580,7790,70110,Chevrolet,Malibu,2014,N
295,49,1992-06-13,IL,500,1141.62,0,MALE,College,prof-specialty,husband,34300,-24300,2015-01-01,Vehicle Theft,Minor Damage,WV,Columbus,4,1,YES,1,3,4320,480,480,3360,Mercedes,E400,2002,N
464,61,1990-10-07,OH,1000,1125.37,0,FEMALE,Associate,prof-specialty,husband,0,-56400,2015-01-13,Multi-vehicle Collision,Major Damage,VA,Northbend,6,3,?,0,2,79800,6650,19950,53200,Saab,95,2000,Y
118,28,1991-12-28,IN,2000,1207.36,0,FEMALE,High School,handlers-cleaners,own-child,0,-57000,2015-03-01,Multi-vehicle Collision,Major Damage,WV,Columbus,22,2,NO,1,0,74200,7420,14840,51940,Volkswagen,Passat,1997,N
298,47,1998-11-11,IL,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,other-relative,28800,0,2015-02-02,Single Vehicle Collision,Major Damage,NY,Northbrook,1,1,?,0,0,70590,10860,10860,48870,Saab,93,2000,Y
87,31,2009-06-26,IN,1000,1074.07,0,FEMALE,Masters,sales,husband,0,-47500,2015-01-27,Multi-vehicle Collision,Major Damage,NY,Springfield,16,3,NO,0,3,60940,5540,11080,44320,Nissan,Ultima,2006,Y
261,42,2009-01-11,OH,500,1337.56,0,FEMALE,College,prof-specialty,unmarried,0,0,2015-01-12,Single Vehicle Collision,Minor Damage,SC,Riverwood,18,1,?,1,2,74700,7470,14940,52290,Dodge,RAM,2010,N
453,60,2003-03-18,IN,500,1298.91,6000000,MALE,PhD,craft-repair,unmarried,52600,-38800,2015-01-06,Single Vehicle Collision,Major Damage,NC,Springfield,0,1,YES,0,0,70000,14000,7000,49000,Ford,F150,2015,Y
210,41,2012-11-02,IL,500,1222.75,0,MALE,High School,exec-managerial,other-relative,0,-41000,2015-01-30,Multi-vehicle Collision,Total Loss,WV,Columbus,12,3,?,2,0,81070,14740,14740,51590,BMW,X5,2001,N
168,32,2000-05-04,IN,1000,1059.52,0,MALE,MD,protective-serv,own-child,0,-40600,2015-03-01,Multi-vehicle Collision,Major Damage,VA,Hillsdale,13,2,?,1,1,57720,14430,9620,33670,Saab,93,2007,N
390,51,1999-09-29,OH,2000,1124.38,0,MALE,Associate,armed-forces,other-relative,0,0,2015-02-24,Vehicle Theft,Minor Damage,VA,Northbrook,9,1,YES,1,1,7080,1180,1180,4720,Ford,F150,2001,N
